,distance,hash,latitude,longitude,serial,time
0,11.7,0318a60609c6970c38bfbb630b718e981e05495b34f0cffcfd26cc70,60.16531,24.9442,00000000fdda10fe,2019-08-02T10:16:00Z
1,8.38,0427fca898279d3a65935d9844b4a5a0bcbe2c05bb80e8e5781e5626,60.14951,24.92138,0000000006dd41f6,2019-08-02T10:16:00Z
2,23.56,14c7e1511b70f4dd3359cbece1377aebb4d70531f5489eefe53d7c3c,60.16544,24.95398,0000000038d83d41,2019-08-02T10:16:00Z
3,3.74,15918569de0a46a8eb56b43d8d39f7fc82619ff1006f00822c85745c,60.17918,24.95141,00000000675d5200,2019-08-02T10:16:00Z
4,9.12,176d39c901785b343f181dc658c91bfe617aec7e5efef560cbbfd2c9,60.16762,24.95415,000000006b44cce7,2019-08-02T10:16:00Z
5,23.56,24d2f2ddd119efcb13abb0ab2cb53850e9788b6713967ccca4d6e071,60.16897,24.95222,00000000aa852af1,2019-08-02T10:16:00Z
6,13.75,2a93b61a3863ace54349d7a0937e4134fcc6d4dfcf064eefae2b7cf8,60.15432,24.9211,0000000019fb59c4,2019-08-02T10:16:00Z
7,18.79,2af9f18ec38ddcce3e687bdf1a0e3d95da68f65a2028ee4a3bdeddab,60.15432,24.9211,0000000019fb59c4,2019-08-02T10:16:00Z
8,31.5,43b676ed3aef4c2d8846694817e76117873be52e7f788e0cb366c1c4,60.16629,24.95957,00000000fb7600be,2019-08-02T10:16:00Z
9,7.69,57f4f164e14b69790111c7edfb33b90a9ed137f5283e9b713e3498c0,60.16075,24.95883,00000000f1124bca,2019-08-02T10:16:00Z
10,8.38,5811fbe12d92baca2a3f21461dab8bdc0f8de16ed2a1a155474d6669,60.16531,24.9442,00000000fdda10fe,2019-08-02T10:16:00Z
11,9.12,5c5b8ebf392d3a1a9eded11c6d68af45797c4c0cf5f8cb94fc541df4,60.16762,24.95415,000000006b44cce7,2019-08-02T10:16:00Z
12,18.79,5d65719c4cbf045f068d084b72302f447d5fd034413d97d13be00d0e,60.18203,24.91341,00000000342570c2,2019-08-02T10:16:00Z
13,13.75,5eed115a984d490b02b602d73787aee8dc8c4e9365b77fbff3818a76,60.16629,24.95957,00000000fb7600be,2019-08-02T10:16:00Z
14,25.36,646c47a7a578720c29f6c6d59929f8e7007be4ed23051011680bffce,60.16544,24.95398,0000000038d83d41,2019-08-02T10:16:00Z
15,11.7,6ff437688c444238352c28f64f9d2a7d0f14d19c9ea42c225380501e,60.16762,24.95415,000000006b44cce7,2019-08-02T10:16:00Z
16,6.46,87dfaad29a9276ddddb1fa021d3bc23ad14824c1af16f7d87e713689,60.14951,24.92138,0000000006dd41f6,2019-08-02T10:16:00Z
17,12.69,8c75c3289c84fe4493e1e272a77b615fe1985880c5dc68a7c1a17b53,60.16762,24.95415,000000006b44cce7,2019-08-02T10:16:00Z
18,18.79,8cc6ddaa460aeae8cc9e8a33f91a01c8cd4c0c8bf8a943210a28c84d,60.1538,24.95595,0000000038bf9618,2019-08-02T10:16:00Z
19,16.1,8ff60f950161ed884860c37d18e95c683a57d568528f4083008a5dd8,60.15432,24.9211,0000000019fb59c4,2019-08-02T10:16:00Z
20,21.87,94b5922a741b974e08d72e750daaf158b93abab4e075dfe8196cb7f1,60.14699,24.922,00000000a53ed894,2019-08-02T10:16:00Z
21,17.4,94d6b5ffc6c990c9febe00232201b2626d3f30f3f44a15e59d7ac6dd,60.16544,24.95398,0000000038d83d41,2019-08-02T10:16:00Z
22,17.4,9843c6216661048343a0e49cf3d8aa2883cf77f452666a1c873a1052,60.16448,24.97323,0000000053c6c2be,2019-08-02T10:16:00Z
23,16.1,9c33b0ccd1854a7b87b163a4afef42984412ec41697726cb14c08701,60.16762,24.95415,000000006b44cce7,2019-08-02T10:16:00Z
24,23.56,9e542b3a7effec1e348e152448282ff99d56cacba9ecdb492a7dd572,60.1538,24.95595,0000000038bf9618,2019-08-02T10:16:00Z
25,16.1,a1ba09b019cae8df2ec9396f46a163e5b29858a11380955ed9605985,60.15432,24.9211,0000000019fb59c4,2019-08-02T10:16:00Z
26,31.5,adf610d4dc8e1ac3bb87327f53ee03139c131b006c5cfb8cda949cbf,60.1538,24.95595,0000000038bf9618,2019-08-02T10:16:00Z
27,9.12,b4faf2d3c4d2b199afeab6ab63b583fe3a2e81e14abbef6917f25129,60.15432,24.9211,0000000019fb59c4,2019-08-02T10:16:00Z
28,10.78,b5fd6b317890e5ab2d79e2cd1abe61626d45a753c7337d0d40728898,60.16762,24.95415,000000006b44cce7,2019-08-02T10:16:00Z
29,17.4,bb52abe4edeb7604c7a55e84373a051fe6adeac1849883eb0877f237,60.15432,24.9211,0000000019fb59c4,2019-08-02T10:16:00Z
30,9.92,bb98768dad0f7c52cf643f035a3e7e48f5cfe28557c66f2a75914b31,60.15432,24.9211,0000000019fb59c4,2019-08-02T10:16:00Z
31,20.28,cb11e624fdfae52d90316e0accf5ce595aa3ae5f4d46213d9c21a710,60.14951,24.92138,0000000006dd41f6,2019-08-02T10:16:00Z
32,11.7,cdddb895f47e079f4d8ed27620fc8708c87a0e0ea3d7f162451a7fb9,60.16897,24.95222,00000000aa852af1,2019-08-02T10:16:00Z
33,29.32,cf05623e4d87ce0906c0b0b7dbf53aacc1228016cd27c341228b6e76,60.18203,24.91341,00000000342570c2,2019-08-02T10:16:00Z
34,8.38,d34d408fb046e98ae2657c1a38f6f5091a41f5e1f7402d6a79d02bad,60.17918,24.95141,00000000675d5200,2019-08-02T10:16:00Z
35,27.28,d4cb127d1dc2bbd4551c51852c13096d8d962eab1b1fe6fa9a4e53dc,60.1638,24.96846,00000000d747f075,2019-08-02T10:16:00Z
36,7.05,e5230781e512427af47425ca91afae9bf363de9aa9a6b4f30c9e33d8,60.16762,24.95415,000000006b44cce7,2019-08-02T10:16:00Z
37,27.28,f088630d7476dae7d4b7e2bb1f10575f2c89acb4b6e061f3d57c2b40,60.16531,24.9442,00000000fdda10fe,2019-08-02T10:16:00Z
38,17.4,fc4f3a44235f1cfc7b53f14ba2da599976a5a0a220d23b852688e485,60.17918,24.95141,00000000675d5200,2019-08-02T10:16:00Z
39,20.28,00458f68a72e603c810b11bd697cd36ad03e5dbc76a852b336aa5db9,60.14951,24.92138,0000000006dd41f6,2019-08-02T10:16:00Z
40,31.5,01420594f4c5f286692767f49418b3fefa418a9ddc5398abd719cb19,60.16829,24.94214,00000000afef4555,2019-08-02T10:16:00Z
41,20.28,028110693d0b4aa6b24c1b1cd2942054802ce57e6a59b7ff2e96b6c0,60.1638,24.96846,00000000d747f075,2019-08-02T10:16:00Z
42,11.7,03f986bb59ff07d006ae5c06acb2097379beec62084c6b2bebe9ef44,60.16544,24.95398,0000000038d83d41,2019-08-02T10:16:00Z
43,25.36,05a7f479cda6a300939e007140a2c7e432b44402e6085702335caaa3,60.16829,24.94214,00000000afef4555,2019-08-02T10:16:00Z
44,5.91,06a90640723204fe5f8f74559ceb6d03029993d9384a041bca49c346,60.17918,24.95141,00000000675d5200,2019-08-02T10:16:00Z
45,21.87,07b38d1b18d4245622d6f8fe7f6292cab167b4bc2ad4d200f966e891,60.16448,24.97323,0000000053c6c2be,2019-08-02T10:16:00Z
46,10.78,08b14531364e73253f861a52ad7ab1c703c28e98015f09c3bc70faa3,60.17918,24.95141,00000000675d5200,2019-08-02T10:16:00Z
47,9.92,09041b5605ab26c769991e004d85c3e6cfcf41ae689da73fb946a1df,60.16829,24.94214,00000000afef4555,2019-08-02T10:16:00Z
48,4.5,09db938a928c4075698abaea10e4191aa89c84ccf59f9fe5e3604ef8,60.16762,24.95415,000000006b44cce7,2019-08-02T10:16:00Z
49,9.92,0a08431f932e5dadb6c378406bffd4e1ea3ce701dfd36e4613b6b98b,60.15432,24.9211,0000000019fb59c4,2019-08-02T10:16:00Z
50,23.56,0a54b501bffc765683c813a96beeb73f4d6b3847dae102cfb1656715,60.16897,24.95222,00000000aa852af1,2019-08-02T10:16:00Z
51,21.87,0b2ab78a774194bd616d1d102048847201fa7958256cf32151bad78e,60.16448,24.97323,0000000053c6c2be,2019-08-02T10:16:00Z
52,14.89,0cb4edd07e682049c206bacaae1c5b005e0949d2c0d6862a12b46abf,60.17918,24.95141,00000000675d5200,2019-08-02T10:16:00Z
53,5.91,0e8944cb379a5d89b07905609c33167ba355d8274a94af2b9dac239a,60.16897,24.95222,00000000aa852af1,2019-08-02T10:16:00Z
54,27.28,0f681629456f8d0b1f3bec63c642ddc637fd4d2bdc23d3df58184b2d,60.14699,24.922,00000000a53ed894,2019-08-02T10:16:00Z
55,21.87,10bd87aa0259bc99ee7605f329bb40817cdca817cb27c2fa728d9809,60.16531,24.9442,00000000fdda10fe,2019-08-02T10:16:00Z
